0.0005 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0015 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0025 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0035 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0045 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0055 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0065 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0075 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0085 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0095 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0105 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0115 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0125 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0135 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0145 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0155 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0165 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0175 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0185 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0195 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0205 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0215 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0225 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0235 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0245 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0255 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0265 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0275 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0285 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0295 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0305 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0315 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0325 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0335 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0345 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0355 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0365 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0375 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0385 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0395 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0405 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0415 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0425 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0435 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0445 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0455 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0465 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0475 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0485 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0495 0.0005 1.6672 1.33273 0 24.4806 1 16.3256
0.0505 0.0005 1.153 0 0 21.0009 1 9.6856
0.0515 0.0005 1.153 0 0 21.0009 1 9.6856
0.0525 0.0005 1.153 0 0 21.0009 1 9.6856
0.0535 0.0005 1.153 0 0 21.0009 1 9.6856
0.0545 0.0005 1.153 0 0 21.0009 1 9.6856
0.0555 0.0005 1.153 0 0 21.0009 1 9.6856
0.0565 0.0005 1.153 0 0 21.0009 1 9.6856
0.0575 0.0005 1.153 0 0 21.0009 1 9.6856
0.0585 0.0005 1.153 0 0 21.0009 1 9.6856
0.0595 0.0005 1.153 0 0 21.0009 1 9.6856
0.0605 0.0005 1.153 0 0 21.0009 1 9.6856
0.0615 0.0005 1.153 0 0 21.0009 1 9.6856
0.0625 0.0005 1.153 0 0 21.0009 1 9.6856
0.0635 0.0005 1.153 0 0 21.0009 1 9.6856
0.0645 0.0005 1.153 0 0 21.0009 1 9.6856
0.0655 0.0005 1.153 0 0 21.0009 1 9.6856
0.0665 0.0005 1.153 0 0 21.0009 1 9.6856
0.0675 0.0005 1.153 0 0 21.0009 1 9.6856
0.0685 0.0005 1.153 0 0 21.0009 1 9.6856
0.0695 0.0005 1.153 0 0 21.0009 1 9.6856
0.0705 0.0005 1.153 0 0 21.0009 1 9.6856
0.0715 0.0005 1.153 0 0 21.0009 1 9.6856
0.0725 0.0005 1.153 0 0 21.0009 1 9.6856
0.0735 0.0005 1.153 0 0 21.0009 1 9.6856
0.0745 0.0005 1.153 0 0 21.0009 1 9.6856
0.0755 0.0005 1.153 0 0 21.0009 1 9.6856
0.0765 0.0005 1.153 0 0 21.0009 1 9.6856
0.0775 0.0005 1.153 0 0 21.0009 1 9.6856
0.0785 0.0005 1.153 0 0 21.0009 1 9.6856
0.0795 0.0005 1.153 0 0 21.0009 1 9.6856
0.0805 0.0005 1.153 0 0 21.0009 1 9.6856
0.0815 0.0005 1.153 0 0 21.0009 1 9.6856
0.0825 0.0005 1.153 0 0 21.0009 1 9.6856
0.0835 0.0005 1.153 0 0 21.0009 1 9.6856
0.0845 0.0005 1.153 0 0 21.0009 1 9.6856
0.0855 0.0005 1.153 0 0 21.0009 1 9.6856
0.0865 0.0005 1.153 0 0 21.0009 1 9.6856
0.0875 0.0005 1.153 0 0 21.0009 1 9.6856
0.0885 0.0005 1.153 0 0 21.0009 1 9.6856
0.0895 0.0005 1.153 0 0 21.0009 1 9.6856
0.0905 0.0005 1.153 0 0 21.0009 1 9.6856
0.0915 0.0005 1.153 0 0 21.0009 1 9.6856
0.0925 0.0005 1.153 0 0 21.0009 1 9.6856
0.0935 0.0005 1.153 0 0 21.0009 1 9.6856
0.0945 0.0005 1.153 0 0 21.0009 1 9.6856
0.0955 0.0005 1.153 0 0 21.0009 1 9.6856
0.0965 0.0005 1.153 0 0 21.0009 1 9.6856
0.0975 0.0005 1.153 0 0 21.0009 1 9.6856
0.0985 0.0005 1.153 0 0 21.0009 1 9.6856
0.0995 0.0005 1.153 0 0 21.0009 1 9.6856
0.1005 0.0005 5.805 0 0 21.9539 0 9.6856
0.1015 0.0005 5.805 0 0 21.9539 0 9.6856
0.1025 0.0005 5.805 0 0 21.9539 0 9.6856
0.1035 0.0005 5.805 0 0 21.9539 0 9.6856
0.1045 0.0005 5.805 0 0 21.9539 0 9.6856
0.1055 0.0005 5.805 0 0 21.9539 0 9.6856
0.1065 0.0005 5.805 0 0 21.9539 0 9.6856
0.1075 0.0005 5.805 0 0 21.9539 0 9.6856
0.1085 0.0005 5.805 0 0 21.9539 0 9.6856
